Sher,Response,translation_extracted_from_json,en_core_web_sm,en_core_web_md,en_core_web_lg
कोई हाथ भी न मिलाएगा जो गले मिलोगे तपाक से ये नए मिज़ाज का शहर है ज़रा फ़ासले से मिला करो,"{
""translation"": ""No one will even shake hands, you will hug with enthusiasm, this is a city of new manners, meet with some distance.""
}","No one will even shake hands, you will hug with enthusiasm, this is a city of new manners, meet with some distance.","['shake', 'hands', 'hug', 'enthusiasm', 'city', 'new', 'manners', 'meet', 'distance']","['shake', 'hands', 'hug', 'enthusiasm', 'city', 'new', 'manners', 'meet', 'distance']","['shake', 'hands', 'hug', 'enthusiasm', 'city', 'new', 'manners', 'meet', 'distance']"
हम हुए तुम हुए कि 'मीर' हुए उस की ज़ुल्फ़ों के सब असीर हुए,"{
""translation"": ""We were yours, and you were ours, for we were captivated by the tresses of that beloved 'Mir'.""
}","We were yours, and you were ours, for we were captivated by the tresses of that beloved 'Mir'.","['captivated', 'tresses', 'beloved', 'Mir']","['captivated', 'tresses', 'beloved', 'Mir']","['captivated', 'tresses', 'beloved', 'Mir']"
ले दे के अपने पास फ़क़त इक नज़र तो है क्यूँ देखें ज़िंदगी को किसी की नज़र से हम,"{
""translation"": ""Take a glance of your own, why look at life through someone else's gaze, we have only one glance of our own.""
}","Take a glance of your own, why look at life through someone else's gaze, we have only one glance of our own.","['glance', 'look', 'life', 'gaze', 'glance']","['glance', 'look', 'life', 'gaze', 'glance']","['glance', 'look', 'life', 'gaze', 'glance']"
कैसे आकाश में सूराख़ नहीं हो सकता एक पत्थर तो तबीअ'त से उछालो यारो,"{
""translation"": ""How can there be a hole in the sky, friend, throw a stone and see!""
}","How can there be a hole in the sky, friend, throw a stone and see!","['hole', 'sky', 'friend', 'throw', 'stone']","['hole', 'sky', 'friend', 'throw', 'stone']","['hole', 'sky', 'friend', 'throw', 'stone']"
हम ने माना कि तग़ाफ़ुल न करोगे लेकिन ख़ाक हो जाएँगे हम तुम को ख़बर होते तक,"{
""translation"": ""We had assumed that you won't betray, but we'll be reduced to dust by the time you get the news.""
}","We had assumed that you won't betray, but we'll be reduced to dust by the time you get the news.","['assumed', 'wo', 'betray', 'reduced', 'dust', 'time', 'news']","['assumed', 'wo', 'betray', 'reduced', 'dust', 'time', 'news']","['assumed', 'wo', 'betray', 'reduced', 'dust', 'time', 'news']"
इक लफ़्ज़-ए-मोहब्बत का अदना ये फ़साना है सिमटे तो दिल-ए-आशिक़ फैले तो ज़माना है,"{
""translation"": ""This is the humble tale of a word of love; when it contracts, it fills the lover's heart, and when it expands, it fills the entire era.""
}","This is the humble tale of a word of love; when it contracts, it fills the lover's heart, and when it expands, it fills the entire era.","['humble', 'tale', 'word', 'love', 'contracts', 'fills', 'lover', 'heart', 'expands', 'fills', 'entire', 'era']","['humble', 'tale', 'word', 'love', 'contracts', 'fills', 'lover', 'heart', 'expands', 'fills', 'entire', 'era']","['humble', 'tale', 'word', 'love', 'contracts', 'fills', 'lover', 'heart', 'expands', 'fills', 'entire', 'era']"
उल्टी हो गईं सब तदबीरें कुछ न दवा ने काम किया देखा इस बीमारी-ए-दिल ने आख़िर काम तमाम किया,"{
""translation"": ""All plans failed, no medicine worked, saw that this heart disease finally succeeded in the end.""
}","All plans failed, no medicine worked, saw that this heart disease finally succeeded in the end.","['plans', 'failed', 'medicine', 'worked', 'saw', 'heart', 'disease', 'finally', 'succeeded', 'end']","['plans', 'failed', 'medicine', 'worked', 'saw', 'heart', 'disease', 'finally', 'succeeded', 'end']","['plans', 'failed', 'medicine', 'worked', 'saw', 'heart', 'disease', 'finally', 'succeeded', 'end']"
सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है,"{
""translation"": ""The desire for martyrdom is now in our hearts, let's see how much strength is in the arms of the executioner.""
}","The desire for martyrdom is now in our hearts, let's see how much strength is in the arms of the executioner.","['desire', 'martyrdom', 'hearts', 'let', 'strength', 'arms', 'executioner']","['desire', 'martyrdom', 'hearts', 'let', 'strength', 'arms', 'executioner']","['desire', 'martyrdom', 'hearts', 'let', 'strength', 'arms', 'executioner']"
दिल की चोटों ने कभी चैन से रहने न दिया जब चली सर्द हवा मैं ने तुझे याद किया,"{
""translation"": ""The wounds of the heart never let me live in peace, when the cold wind blew, I remembered you.""
}","The wounds of the heart never let me live in peace, when the cold wind blew, I remembered you.","['wounds', 'heart', 'let', 'live', 'peace', 'cold', 'wind', 'blew', 'remembered']","['wounds', 'heart', 'let', 'live', 'peace', 'cold', 'wind', 'blew', 'remembered']","['wounds', 'heart', 'let', 'live', 'peace', 'cold', 'wind', 'blew', 'remembered']"
हज़ारों साल नर्गिस अपनी बे-नूरी पे रोती है बड़ी मुश्किल से होता है चमन में दीदा-वर पैदा,"{
""translation"": ""For thousands of years, the narcissus flower has been crying over its own helplessness, it is very difficult for a beauty like yours to be born in the garden.""
}","For thousands of years, the narcissus flower has been crying over its own helplessness, it is very difficult for a beauty like yours to be born in the garden.","['thousands', 'years', 'narcissus', 'flower', 'crying', 'helplessness', 'difficult', 'beauty', 'like', 'born', 'garden']","['thousands', 'years', 'narcissus', 'flower', 'crying', 'helplessness', 'difficult', 'beauty', 'like', 'born', 'garden']","['thousands', 'years', 'narcissus', 'flower', 'crying', 'helplessness', 'difficult', 'beauty', 'like', 'born', 'garden']"
नाज़ुकी उस के लब की क्या कहिए पंखुड़ी इक गुलाब की सी है,"{
""translation"": ""What can we say about the delicacy of her lips, they are like the petals of a rose.""
}","What can we say about the delicacy of her lips, they are like the petals of a rose.","['delicacy', 'lips', 'like', 'petals', 'rose']","['delicacy', 'lips', 'like', 'petals', 'rose']","['delicacy', 'lips', 'like', 'petals', 'rose']"
ग़रज़ कि काट दिए ज़िंदगी के दिन ऐ दोस्त वो तेरी याद में हों या तुझे भुलाने में,"{
""translation"": ""Some days of life were spent, O friend, whether they were spent in your remembrance or in trying to forget you.""
}","Some days of life were spent, O friend, whether they were spent in your remembrance or in trying to forget you.","['days', 'life', 'spent', 'O', 'friend', 'spent', 'remembrance', 'trying', 'forget']","['days', 'life', 'spent', 'O', 'friend', 'spent', 'remembrance', 'trying', 'forget']","['days', 'life', 'spent', 'O', 'friend', 'spent', 'remembrance', 'trying', 'forget']"
बे-ख़ुदी बे-सबब नहीं 'ग़ालिब' कुछ तो है जिस की पर्दा-दारी है,"{
""translation"": ""There must be something, 'Ghalib', that has a curtain of secrecy, and is not without a reason or purpose, this careless and aimless existence.""
}","There must be something, 'Ghalib', that has a curtain of secrecy, and is not without a reason or purpose, this careless and aimless existence.","['Ghalib', 'curtain', 'secrecy', 'reason', 'purpose', 'careless', 'aimless', 'existence']","['Ghalib', 'curtain', 'secrecy', 'reason', 'purpose', 'careless', 'aimless', 'existence']","['Ghalib', 'curtain', 'secrecy', 'reason', 'purpose', 'careless', 'aimless', 'existence']"
मेरे हम-नफ़स मेरे हम-नवा मुझे दोस्त बन के दग़ा न दे मैं हूँ दर्द-ए-इश्क़ से जाँ-ब-लब मुझे ज़िंदगी की दुआ न दे,"{
""translation"": ""My fellow traveler, my fellow boatman, don't push me into the depths, I am exhausted from the pain of love, don't pray for my life.""
}","My fellow traveler, my fellow boatman, don't push me into the depths, I am exhausted from the pain of love, don't pray for my life.","['fellow', 'traveler', 'fellow', 'boatman', 'push', 'depths', 'exhausted', 'pain', 'love', 'pray', 'life']","['fellow', 'traveler', 'fellow', 'boatman', 'push', 'depths', 'exhausted', 'pain', 'love', 'pray', 'life']","['fellow', 'traveler', 'fellow', 'boatman', 'push', 'depths', 'exhausted', 'pain', 'love', 'pray', 'life']"
दिल अभी पूरी तरह टूटा नहीं दोस्तों की मेहरबानी चाहिए,"{
""translation"": ""The heart is not completely broken, friends' kindness is needed.""
}","The heart is not completely broken, friends' kindness is needed.","['heart', 'completely', 'broken', 'friends', 'kindness', 'needed']","['heart', 'completely', 'broken', 'friends', 'kindness', 'needed']","['heart', 'completely', 'broken', 'friends', 'kindness', 'needed']"
अब तो जाते हैं बुत-कदे से 'मीर' फिर मिलेंगे अगर ख़ुदा लाया,"{
""translation"": ""Now we are leaving the idol-houses, ' Meer' will meet again if God brings us together""
}","Now we are leaving the idol-houses, ' Meer' will meet again if God brings us together","['leaving', 'idol', 'houses', 'Meer', 'meet', 'God', 'brings']","['leaving', 'idol', 'houses', 'Meer', 'meet', 'God', 'brings']","['leaving', 'idol', 'houses', 'Meer', 'meet', 'God', 'brings']"
तिरे माथे पे ये आँचल बहुत ही ख़ूब है लेकिन तू इस आँचल से इक परचम बना लेती तो अच्छा था,"{
""translation"": ""The veil on your forehead is very beautiful, but it would have been better if you had made a flag out of it.""
}","The veil on your forehead is very beautiful, but it would have been better if you had made a flag out of it.","['veil', 'forehead', 'beautiful', 'better', 'flag']","['veil', 'forehead', 'beautiful', 'better', 'flag']","['veil', 'forehead', 'beautiful', 'better', 'flag']"
मकतब-ए-इश्क़ का दस्तूर निराला देखा उस को छुट्टी न मिले जिस को सबक़ याद रहे,"{
""translation"": ""The protocol of the school of love is unique, whoever saw it, didn't get a leave, whoever got the lesson, remembered it forever.""
}","The protocol of the school of love is unique, whoever saw it, didn't get a leave, whoever got the lesson, remembered it forever.","['protocol', 'school', 'love', 'unique', 'saw', 'leave', 'got', 'lesson', 'remembered', 'forever']","['protocol', 'school', 'love', 'unique', 'saw', 'leave', 'got', 'lesson', 'remembered', 'forever']","['protocol', 'school', 'love', 'unique', 'saw', 'leave', 'got', 'lesson', 'remembered', 'forever']"
ज़िंदगी क्या किसी मुफ़लिस की क़बा है जिस में हर घड़ी दर्द के पैवंद लगे जाते हैं,"{
""translation"": ""Life is the tomb of some wretched person, where every moment is marked by the stitches of pain.""
}","Life is the tomb of some wretched person, where every moment is marked by the stitches of pain.","['Life', 'tomb', 'wretched', 'person', 'moment', 'marked', 'stitches', 'pain']","['Life', 'tomb', 'wretched', 'person', 'moment', 'marked', 'stitches', 'pain']","['Life', 'tomb', 'wretched', 'person', 'moment', 'marked', 'stitches', 'pain']"
घर से मस्जिद है बहुत दूर चलो यूँ कर लें किसी रोते हुए बच्चे को हँसाया जाए,"{
""translation"": ""The mosque is far from home, let's do it this way, and make a crying child laugh.""
}","The mosque is far from home, let's do it this way, and make a crying child laugh.","['mosque', 'far', 'home', 'let', 'way', 'crying', 'child', 'laugh']","['mosque', 'far', 'home', 'let', 'way', 'crying', 'child', 'laugh']","['mosque', 'far', 'home', 'let', 'way', 'crying', 'child', 'laugh']"
आईना क्यूँ न दूँ कि तमाशा कहें जिसे ऐसा कहाँ से लाऊँ कि तुझ सा कहें जिसे,"{
""translation"": ""Why shouldn't I mirror thee, for whom they call a spectacle? Where can I find someone like thee, for whom they say the same?""
}","Why shouldn't I mirror thee, for whom they call a spectacle? Where can I find someone like thee, for whom they say the same?","['mirror', 'thee', 'spectacle', 'find', 'like', 'thee']","['mirror', 'thee', 'spectacle', 'find', 'like', 'thee']","['mirror', 'thee', 'spectacle', 'find', 'like', 'thee']"
सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है,"{
""original"": ""सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है"",
""translation"": ""The desire for martyrdom is now in our hearts, let's see how much strength is in the arm of the executioner.""
}","The desire for martyrdom is now in our hearts, let's see how much strength is in the arm of the executioner.","['desire', 'martyrdom', 'hearts', 'let', 'strength', 'arm', 'executioner']","['desire', 'martyrdom', 'hearts', 'let', 'strength', 'arm', 'executioner']","['desire', 'martyrdom', 'hearts', 'let', 'strength', 'arm', 'executioner']"
दिल के फफूले जल उठे सीने के दाग़ से इस घर को आग लग गई घर के चराग़ से,"{
""translation"": ""The sparks of the heart have ignited, setting the home ablaze with the scars of the chest, and the lamp of the home has lit the fire.""
}","The sparks of the heart have ignited, setting the home ablaze with the scars of the chest, and the lamp of the home has lit the fire.","['sparks', 'heart', 'ignited', 'setting', 'home', 'ablaze', 'scars', 'chest', 'lamp', 'home', 'lit', 'fire']","['sparks', 'heart', 'ignited', 'setting', 'home', 'ablaze', 'scars', 'chest', 'lamp', 'home', 'lit', 'fire']","['sparks', 'heart', 'ignited', 'setting', 'home', 'ablaze', 'scars', 'chest', 'lamp', 'home', 'lit', 'fire']"
हम ने माना कि तग़ाफ़ुल न करोगे लेकिन ख़ाक हो जाएँगे हम तुम को ख़बर होते तक,"{
""translation"": ""We assumed you won't bother, but we will be reduced to dust before you even get a hint.""
}","We assumed you won't bother, but we will be reduced to dust before you even get a hint.","['assumed', 'wo', 'bother', 'reduced', 'dust', 'hint']","['assumed', 'wo', 'bother', 'reduced', 'dust', 'hint']","['assumed', 'wo', 'bother', 'reduced', 'dust', 'hint']"
कभी यक-ब-यक तुम्हें ग़म बी ग़म हो जाता कभी ज़िंदगी तो किसी की ज़िंदगी हो जाती,"{
""translation"": ""Sometimes your sorrow becomes someone's life, and sometimes life becomes someone's life""
}","Sometimes your sorrow becomes someone's life, and sometimes life becomes someone's life","['sorrow', 'life', 'life', 'life']","['sorrow', 'life', 'life', 'life']","['sorrow', 'life', 'life', 'life']"
